x,y,z,pose_json,contact_area,grasp_width,score,pair_num,edge_num,point_num
-5.3385194488745205,0.5471088028869224,-8.067290091661338,"[[-0.10822015829052055, 0.5984978834437579, 0.7937812550400246], [0.0041654543776569065, 0.7987366940557933, -0.6016663049886121], [-0.9941182255292388, -0.06180596316023176, -0.08893242709177424]]",54.95333748578597,13.073502349461943,0.10964740423091117,1,9,1
-4.948926879028646,-1.6074835775106115,-10.924902609805432,"[[-0.10822015829052055, 0.5984978834437579, 0.7937812550400246], [0.0041654543776569065, 0.7987366940557933, -0.6016663049886121], [-0.9941182255292388, -0.06180596316023176, -0.08893242709177424]]",50.64007020042122,13.073502349461943,0.0914554402215701,1,9,2
-5.2169283518030705,2.0285131619259875,-10.456020005461777,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",48.48509835281865,13.073502349461943,0.08463374056662114,1,14,1
-5.80640977947973,9.986628985363984,-9.397292378935495,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",65.72989454073479,13.073502349461943,0.13752349351438614,1,14,2
-5.442157433494268,7.024367544686766,-11.410331719217,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",71.88048861524044,13.073502349461943,0.15874680663286547,1,14,3
-5.077905087508806,4.0621061040095485,-13.423371059498507,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",68.33161716238033,13.073502349461943,0.14617456129237133,1,14,4
-4.713652741523344,1.0998446633323258,-15.436410399780016,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",55.73256666926673,13.073502349461943,0.10209288126292895,1,14,5
-6.0316388611709275,14.982483368124763,-10.351604092690712,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",58.82556356689847,13.073502349461943,0.1077328598341743,1,14,6
-5.667386515185465,12.020221927447546,-12.364643432972219,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",72.90575407207157,13.073502349461943,0.15639935607801378,1,14,7
-5.303134169200003,9.057960486770327,-14.377682773253724,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",73.77520349620525,13.073502349461943,0.15985118566053605,1,14,8
-4.938881823214541,6.0956990460931095,-16.390722113535233,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",67.88087125312059,13.073502349461943,0.13957144172547506,1,14,9
-4.574629477229079,3.133437605415887,-18.40376145381674,"[[-0.1011812072181839, 0.8228504001881167, 0.559177594522641], [0.03861757341507359, 0.5648869283565449, -0.8242641816768694], [-0.9941182255292388, -0.061805963160231764, -0.08893242709177424]]",56.1416950910761,13.073502349461943,0.0986964255737699,1,14,10
