x,y,z,pose_json,contact_area,grasp_width,score,pair_num,edge_num,point_num
1.5203413659116487,-17.375062956535178,-0.6807227602872012,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",73.4047522696912,30.999276966208736,0.15061071493522163,1,1,1
-2.0779325864865696,-17.48532068392922,-0.697087265852615,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",75.97429875858356,30.999276966208736,0.15885352318207124,1,1,2
-5.676206538884788,-17.59557841132326,-0.7134517714180291,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",78.60393159138097,30.999276966208736,0.16583254084470772,1,1,3
-9.274480491283008,-17.705836138717306,-0.7298162769834431,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",81.23356441521886,30.999276966208736,0.1715398577058872,1,1,4
-12.872754443681226,-17.81609386611135,-0.7461807825488569,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",78.05690725220398,30.999276966208736,0.15683114890130276,1,1,5
-16.471028396079447,-17.926351593505387,-0.7625452881142707,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",63.19909176686885,30.999276966208736,0.10232137456197796,1,1,6
1.4095863362153016,-13.77888635214435,-0.557243395901825,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",137.48475227143697,30.999276966208736,0.3721382446990711,1,1,7
-2.188687616182917,-13.889144079538392,-0.5736079014672391,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",140.05429875989918,30.999276966208736,0.3802930527106314,1,1,8
-5.786961568581135,-13.999401806932434,-0.5899724070326529,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",142.6839315926966,30.999276966208736,0.3868456092763951,1,1,9
-9.385235520979357,-14.109659534326477,-0.6063369125980669,"[[0.9995205423328386, 0.030627146498345092, 0.004545695990392753], [-0.030765286026762685, 0.9989379456641189, 0.034299823440382286], [-0.0034903624968805995, -0.03442322776438665, 0.999401250129257]]",145.31356441648,30.999276966208736,0.3919403540375892,1,1,10
